생육일조사지역,만개기
나주,2024-04-08
완주,2024-04-06
영천,2024-04-09
사천,2024-04-06
천안,2024-04-11
이천,2024-04-12
상주,2024-04-13
김제,2024-04-08
2024년도,2024-03-15
평년도,03-19
나주,2023-04-05
완주,2023-04-03
영천,2023-04-05
사천,2023-03-31
천안,2023-04-08
이천,2023-04-10
울산,2023-03-31
상주,2023-04-11
김제,2023-04-04
2023년도,2023-03-16
평년도,03-19
나주,2022-04-09
완주,2022-04-11
영천,2022-04-12
사천,2022-04-07
천안,2022-04-16
이천,2022-04-17
울산,2022-04-08
2022년도,2022-03-17
평년도,03-19
나주,2021-04-02
완주,2021-04-05
영천,2021-04-08
사천,2021-03-30
천안,2021-04-09
이천,2021-04-11
김제,2021-04-06
2021년도,2021-03-11
평년도,03-19
나주,2020-04-04
완주,2020-04-13
영천,2020-04-05
사천,2020-03-31
천안,2020-04-09
이천,2020-04-09
김제,2020-04-13
2020년도,2020-03-14
평년도,03-19
나주,2019-04-11
완주,2019-04-17
영천,2019-04-11
사천,2019-04-02
천안,2019-04-16
이천,2019-04-20
상주,2019-04-17
김제,2019-04-17
춘천,2019-04-21
2019년도,2019-03-17
평년도,03-19
나주,2018-04-07
완주,2018-04-10
영천,2018-04-07
김제,2018-04-10
춘천,2018-04-17
2018년도,2018-03-18
평년도,03-19
나주,2017-04-13
완주,2017-04-16
천안,2017-04-16
이천,2017-04-17
김제,2017-04-16
춘천,2017-04-16
2017년도,2017-03-22
평년도,03-19
나주,2016-04-09
영천,2016-04-11
천안,2016-04-15
이천,2016-04-16
김제,2016-04-13
춘천,2016-04-16
2016년도,2016-03-20
평년도,03-19
나주,2015-04-10
2015년도,2015-03-02
평년도,03-19
나주,2014-04-07
영천,2014-04-10
천안,2014-04-15
이천,2014-04-16
상주,2014-04-10
2014년도,2014-03-20
평년도,03-19
나주,2013-04-17
영천,2013-04-12
천안,2013-04-29
이천,2013-04-29
상주,2013-04-14
2013년도,2013-03-26
평년도,03-18
나주,2012-04-20
영천,2012-04-17
천안,2012-04-24
이천,2012-04-27
상주,2012-04-20
2012년도,2012-04-02
평년도,03-18
나주,2011-04-18
영천,2011-04-19
천안,2011-04-30
이천,2011-05-03
상주,2011-04-22
2011년도,2011-03-29
평년도,03-18
나주,2010-04-16
2010년도,2010-03-07
평년도,03-19
나주,2009-04-09
2009년도,2009-03-16
평년도,03-19
나주,2008-04-13
수원,2008-04-16
2008년도,2008-03-19
평년도,03-19
나주,2007-04-11
수원,2007-04-22
2007년도,2007-03-13
평년도,03-19
나주,2006-04-15
수원,2006-04-22
2006년도,2006-03-16
평년도,03-19
나주,2005-04-17
수원,2005-04-23
2005년도,2005-03-20
평년도,03-19
나주,2004-04-10
수원,2004-04-20
2004년도,2004-03-12
평년도,03-19
